
========== 44-ФЗ: всего 220 ==========
Актуальные + публичные: 126

### BTK  (2 типов)
  purchaseProtocolRejectionKESMBO                Протокол отказа от заключения договора для конкурса в ЭФ, участниками которого могут быть только МСП
  purchaseProtocolRejectionZKESMBO               Протокол отказа от заключения договора для запроса котировок в ЭФ, участниками которого могут быть только МСП
  purchaseProtocolRejectionZPESMBO               Протокол отказа от заключения договора для запроса предложений в ЭФ, участниками которого могут быть только МСП
  purchaseProtocolSummingupAESMBO                Итоговый протокол аукциона в ЭФ, участниками которого могут являться только МСП
  purchaseProtocolSummingupKESMBO                Итоговый протокол конкурса в ЭФ, участниками которого могут являться только МСП
  purchaseProtocolSummingupZKESMBO               Итоговый протокол запроса котировок в ЭФ, участниками которого могут являться только МСП
  purchaseProtocolSummingupZPESMBO               Итоговый протокол запроса предложений в ЭФ, участниками которого могут являться только МСП
  purchaseProtocolVK                             Протокол вскрытия конвертов для открытого конкурса
  purchaseProtocolZK                             Протокол запроса котировок
  purchaseProtocolZRPZAESMBO                     Протокол запроса разъяснений положений заявки для аукциона в ЭФ, участниками которого могут быть только МСП
  purchaseProtocolZRPZKESMBO                     Протокол запроса разъяснений положений заявки для конкурса в ЭФ, участниками которого могут быть только МСП
  purchaseProtocolZRPZZKESMBO                    Протокол запроса разъяснений положений заявки для запроса котировок в ЭФ, участниками которого могут быть только МСП
  purchaseProtocolZRPZZPESMBO                    Протокол запроса разъяснений положений заявки для запроса предложений в ЭФ, участниками которого могут быть только МСП
  purchaseRejection                              Отмена закупки

### RJ223  (3 типов)
  complaint                                      Сведения о жалобе
  complaintDecision                              Сведения о решении по жалобе
  complaintWithdraw                              Сведения об отзыве жалобы

### RNP223  (1 типов)
  dishonestSupplier                              Сведения о недобросовестном поставщике

### RPP223  (2 типов)
  complaintVerificationPlan                      Сведения о плане проверки
  complaintVerificationResult                    Сведения о результате контроля

### RPZ223  (3 типов)
  purchasePlan                                   План закупки
  purchasePlanCutted                             План закупки (сокращенная информация)
  purchasePlanProject                            Проект плана закупки

### RZ223  (1 типов)
  nsiCustomerCutted                              Организация в реестре заказчиков(сокращенная информация)

### TPOZ223  (1 типов)
  typalOrderClause                               Типовое положение о закупке

### TRU223  (2 типов)
  ListGWS                                        Перечень ТРУ/ИПВП
  ListInnov                                      Перечень товаров, работ, услуг, удовлетворяющих критериям отнесения к инновационной продукции, высокотехнологичной продукции


===== СВОДКА =====
44-ФЗ: total=220 public∩actual=126
223-ФЗ: total=110 public∩actual=93
